Genero,Tipo_Colegio,Score_Matematicas,Score_Lectura,Score_Ciencias,Score_Total,3_Comidas_por_día,Apoderado_con_estudios_superiores,Internet,estudio_diario,Eval_cont,Psi_evaluacion,uso_digital_escuela,asesoria_parental
Masculino,Publico,337.02669999999995,366.6031999999999,320.5425,341.39079999999996,Si,No,Si,No,No,No,Si,Si
Masculino,Publico,387.649,382.5004,392.7731,387.6408333333334,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,310.87119999999993,297.9065,341.5987,316.7921333333333,Si,No,Si,,No,No,Si,Si
Masculino,Privado,282.8761,277.25519999999995,349.07730000000004,303.06953333333337,Si,No,No,Si,Si,No,No,Si
Masculino,Privado,412.215,418.8764,412.32699999999994,414.4728,Si,Si,Si,No,No,Si,Si,
Masculino,Publico,534.2159,505.8929,501.0407,513.7165,Si,Si,Si,Si,Si,No,Si,Si
Femenino,Publico,340.4214,336.60819999999995,331.75239999999997,336.2606666666666,Si,No,,No,No,No,No,Si
Femenino,Publico,410.7241,381.97510000000005,422.27670000000006,404.9919666666667,Si,No,No,Si,No,Si,Si,Si
Femenino,Publico,341.26,394.54229999999995,392.71200000000005,376.17143333333337,Si,No,No,Si,Si,Si,Si,Si
Masculino,Publico,350.7915,380.0949,371.313,367.39979999999997,Si,Si,No,Si,Si,No,No,Si
Masculino,Publico,422.5768,407.82009999999997,425.81329999999997,418.73673333333335,Si,No,No,No,No,Si,No,No
Femenino,Publico,472.0896999999999,442.4946999999999,537.3521,483.9788333333333,Si,Si,Si,Si,No,Si,No,Si
Masculino,Publico,534.9873,560.6221,514.4745,536.6946333333334,No,No,Si,Si,No,No,Si,
Femenino,Publico,329.788,358.5327,337.7247000000001,342.0151333333333,No,No,Si,Si,No,No,No,Si
Masculino,Publico,342.3087,320.32550000000003,368.6034,343.74586666666664,Si,No,Si,No,Si,Si,Si,No
Masculino,Privado,355.27299999999997,366.544,341.6951,354.5040333333333,Si,No,No,Si,Si,Si,Si,Si
Masculino,Privado,429.2411,445.75010000000003,456.39639999999997,443.79586666666665,Si,,No,Si,No,Si,Si,Si
Femenino,Publico,445.02779999999996,461.74979999999994,491.9438999999999,466.24049999999994,Si,Si,Si,Si,Si,Si,Si,
Femenino,Publico,431.1164,401.80299999999994,453.39369999999997,428.77103333333326,Si,Si,Si,No,Si,Si,Si,
Masculino,Privado,479.8633,505.92789999999997,480.54260000000005,488.7779333333333,No,Si,Si,Si,Si,No,No,Si
Femenino,Publico,386.95849999999996,451.67209999999994,379.2426,405.95773333333335,No,No,Si,No,Si,No,No,Si
